Coupon_Code,Discount,city_id,limit,status,startdate,enddate
Coupon1,12,"1,2",1,active,31-08-2022 09:48,01-09-2022 11:48
Coupon2,15,"1,2",2,inactive,01-09-2022 11:48,02-09-2022 11:48
Coupon3,10,"2,4",3,active,02-09-2022 11:48,03-09-2022 11:48
Coupon4,5,"4,1",4,inactive,03-09-2022 11:48,04-09-2022 11:48
Coupon5,20,"1,2",5,active,04-09-2022 11:48,05-09-2022 11:48
Coupon6,15,"1,2",6,inactive,05-09-2022 11:48,06-09-2022 11:48
Coupon7,10,"2,4",7,active,06-09-2022 11:48,07-09-2022 11:48
Coupon8,25,"4,1",8,inactive,07-09-2022 11:48,08-09-2022 11:48
Coupon9,12,"1,2",9,active,08-09-2022 11:48,09-09-2022 11:48
Coupon10,15,"1,2",10,inactive,09-09-2022 11:48,10-09-2022 11:48
Coupon11,10,"2,4",11,active,10-09-2022 11:48,11-09-2022 11:48
Coupon12,5,"4,1",12,inactive,11-09-2022 11:48,12-09-2022 11:48
