S. No.,Tests,category_id,Banglore_price,Description
1,"P022 - THYROID PROFILE, TOTAL (T3, T4, TSH), SERUM",BLOOD,480,SERUM
2,"BI107 - THYROID STIMULATING HORMONE(TSH),SERUM",BLOOD,250,SERUM
3,"H013 - HBA1C (GLYCOSYLATED HEMOGLOBIN), BLOOD",BLOOD,450,"WHOLE BLOOD
EDTA"
4,"BI106 - VITAMIN D (25-OH),Serum",BLOOD,"1,100",SERUM
5,"BI109 - VITAMIN B12, SERUM",BLOOD,825,SERUM
6,"P007 - COMPLETE BLOOD COUNT (CBC), BLOOD",BLOOD,290,"WHOLE BLOOD
EDTA"
7,"P021 - THYROID PROFILE, FREE (FT3, FT4, TSH), SERUM",BLOOD,900,SERUM
8,LQ053 - D-DIMER; SEMI QUANTITATIVE,BLOOD,"1,140",2 ml of Platelet Poor Citrated plasma
9,"BI025 - C-REACTIVE PROTEIN (QUANTITATIVE), SERUM",BLOOD,450,SERUM
10,"BI083 - FERRITIN, SERUM",BLOOD,690,SERUM
11,BI201 - TSH ULTRASENSITIVE,BLOOD,350,SERUM
12,"BI096 - PROLACTIN, SERUM",BLOOD,450,SERUM
13,"P016 - ELECTROLYTES , SERUM",BLOOD,390,SERUM
14,CP016 - URINE ROUTINE EXAMINATION,URINE,100,URINE
15,"BI024 - CREATININE, SERUM",BLOOD,130,SERUM
16,"BI029 - GLUCOSE POST-PRANDIAL, PLASMA",BLOOD,80,PLASMA FLUORIDE- POST PRANDIAL SAMPLE
17,"BI028 - GLUCOSE FASTING, PLASMA",BLOOD,80,FASTING PLASMA FLOURIDE
18,"BI036 - LACTATE DEHYDROGENASE(LDH), SERUM",BLOOD,320,SERUM
19,"BI105 - TOTAL IGE (IMMUNOGLOBULIN E), SERUM",BLOOD,900,SERUM
20,MI033 - URINE CULTURE & SUSCEPTIBILITY,URINE,450,URINE
21,"BI070 - BETA HCG, TOTAL, SERUM",BLOOD,550,SERUM
22,"PN044 - AMENORRHOEA SCREEN ( LH, FSH, PROLACTIN) (ONLY FOR FEMALES)",BLOOD,"1,100",SERUM
23,"P029 - LIPID PROFILE CALCULATED, SERUM (CHOLESTEROL TOTAL, CHOLESTEROL-HDL-DIRECT, CHOLESTEROL-LDL- CALCULATED, TRIGLYCERIDE, VLDL-CALCULATED)",BLOOD,600,FASTING SERUM (12-14 Hrs.)
24,"BI030 - GLUCOSE RANDOM, PLASMA",BLOOD,80,PLASMA FLUORIDE
25,"BI113 - ANTI MULLERIAN HORMONE(AMH), SERUM",BLOOD,"1,700",SERUM
